president,enddate,Approve,Disapprove
Donald Trump,2/22/2017,43.948636,47.76658
Donald Trump,2/22/2017,43.237814,48.82106
Donald Trump,2/21/2017,42.861441,50.539189
Donald Trump,2/22/2017,42.948636,47.76658
Donald Trump,2/23/2017,47.151563,45.880389
Donald Trump,2/22/2017,43.861441,50.539189
Donald Trump,2/22/2017,46.608387,48.626013
Donald Trump,2/23/2017,47.608387,48.626013
Donald Trump,2/22/2017,44.608485,48.209337
Donald Trump,2/24/2017,46.451563,46.580389
Donald Trump,2/23/2017,43.861441,50.539189
Donald Trump,2/25/2017,46.451563,46.480389
Donald Trump,2/24/2017,40.948636,51.76658
Donald Trump,2/24/2017,41.861441,51.539189
Donald Trump,2/26/2017,45.608387,50.626013
Donald Trump,2/25/2017,40.948636,51.76658
Donald Trump,2/25/2017,41.861441,52.539189
Donald Trump,2/26/2017,46.951563,46.780389
Donald Trump,2/27/2017,44.608387,51.626013
Donald Trump,2/26/2017,42.948636,51.76658
Donald Trump,2/27/2017,47.451563,46.880389
Donald Trump,2/26/2017,42.861441,52.539189
Donald Trump,2/26/2017,49.686784,46.055805
Donald Trump,2/28/2017,47.451563,46.980389
Donald Trump,2/27/2017,42.861441,52.539189
Donald Trump,2/27/2017,41.948636,50.76658
Donald Trump,2/28/2017,42.948636,48.76658
Donald Trump,2/28/2017,43.861441,50.539189
Donald Trump,2/28/2017,44.608387,51.626013
Donald Trump,3/1/2017,41.948636,51.76658
Donald Trump,3/1/2017,47.051563,47.780389
Donald Trump,3/2/2017,42.613321,52.248116
Donald Trump,3/4/2017,42.539711,52.592009
Donald Trump,3/2/2017,47.151563,47.380389
Donald Trump,3/1/2017,46.608387,49.626013
Donald Trump,3/1/2017,43.948636,52.76658
Donald Trump,3/1/2017,43.861441,49.539189
Donald Trump,3/2/2017,46.948636,43.76658
Donald Trump,3/3/2017,46.951563,47.280389
Donald Trump,3/2/2017,43.861441,49.539189
Donald Trump,3/2/2017,47.608387,48.626013
Donald Trump,3/3/2017,43.861441,49.539189
Donald Trump,3/4/2017,46.751563,46.780389
Donald Trump,3/3/2017,44.948636,48.76658
Donald Trump,3/4/2017,44.727772,50.495022
Donald Trump,3/5/2017,48.151563,45.280389
Donald Trump,3/4/2017,43.861441,48.539189
Donald Trump,3/5/2017,45.613321,50.248116
Donald Trump,3/5/2017,45.921962,44.497249
Donald Trump,3/5/2017,46.608387,49.626013
Donald Trump,3/4/2017,41.948636,49.76658
Donald Trump,3/6/2017,45.608387,50.626013
Donald Trump,3/5/2017,44.861441,48.539189
Donald Trump,3/5/2017,43.262775,47.326316
Donald Trump,3/6/2017,48.951563,44.580389
Donald Trump,3/5/2017,42.948636,50.76658
Donald Trump,3/6/2017,42.750369,50.742388
Donald Trump,3/6/2017,49.686784,46.055805
Donald Trump,3/7/2017,44.404286,47.081642
Donald Trump,3/7/2017,48.951563,44.580389
Donald Trump,3/6/2017,40.948636,48.76658
Donald Trump,3/6/2017,41.351563,43.580389
Donald Trump,3/6/2017,43.861441,49.539189
Donald Trump,3/9/2017,44.613321,51.248116
Donald Trump,3/7/2017,40.948636,51.76658
Donald Trump,3/12/2017,45.162813,51.477711
Donald Trump,3/8/2017,49.651563,44.180389
Donald Trump,3/7/2017,42.861441,51.539189
Donald Trump,3/7/2017,43.608387,52.626013
Donald Trump,3/7/2017,42.948636,50.76658
Donald Trump,3/9/2017,50.351563,43.880389
Donald Trump,3/11/2017,43.266953,50.752359
Donald Trump,3/8/2017,42.948636,50.76658
Donald Trump,3/8/2017,43.608387,52.626013
Donald Trump,3/8/2017,41.861441,51.539189
Donald Trump,3/9/2017,42.861441,50.539189
Donald Trump,3/10/2017,50.051563,44.780389
Donald Trump,3/9/2017,42.608387,53.626013
Donald Trump,3/9/2017,39.948636,50.76658
Donald Trump,3/12/2017,36.769187,56.41321
Donald Trump,3/11/2017,49.251563,45.480389
Donald Trump,3/10/2017,44.861441,47.539189
Donald Trump,3/10/2017,40.948636,51.76658
Donald Trump,3/11/2017,45.861441,47.539189
Donald Trump,3/12/2017,48.451563,46.380389
Donald Trump,3/12/2017,41.608387,54.626013
Donald Trump,3/11/2017,42.948636,51.76658
Donald Trump,3/12/2017,42.608485,50.209337
Donald Trump,3/13/2017,51.686784,44.055805
Donald Trump,3/13/2017,48.251563,46.880389
Donald Trump,3/13/2017,40.608387,54.626013
Donald Trump,3/12/2017,39.948636,52.76658
Donald Trump,3/12/2017,42.861441,49.539189
Donald Trump,3/13/2017,43.948636,49.76658
Donald Trump,3/13/2017,39.861441,53.539189
Donald Trump,3/14/2017,46.651563,47.480389
Donald Trump,3/14/2017,39.608387,55.626013
Donald Trump,3/14/2017,40.861441,52.539189
Donald Trump,3/15/2017,45.851563,47.280389
Donald Trump,3/16/2017,43.613321,52.248116
Donald Trump,3/14/2017,41.012924,51.485387
Donald Trump,3/14/2017,41.948636,50.76658
Donald Trump,3/15/2017,42.861441,51.539189
Donald Trump,3/15/2017,39.948636,53.76658
Donald Trump,3/16/2017,45.551563,47.580389
Donald Trump,3/15/2017,41.608387,54.626013
Donald Trump,3/17/2017,45.751563,47.380389
Donald Trump,3/16/2017,41.861441,52.539189
Donald Trump,3/16/2017,42.608387,53.626013
Donald Trump,3/16/2017,43.914807,52.031268
Donald Trump,3/16/2017,44.746612,50.481791
Donald Trump,3/16/2017,40.948636,49.76658
Donald Trump,3/18/2017,43.751563,48.980389
Donald Trump,3/17/2017,40.861441,53.539189
