enddate,approval_type,rate,year
2017-02-13,disapprove,49.626013,2017
2017-02-12,approve,40.948636,2017
2017-02-12,disapprove,51.76658,2017
2017-02-12,approve,40.861441,2017
2017-02-12,disapprove,52.539189,2017
2017-02-13,approve,47.651563,2017
2017-02-13,disapprove,47.080389,2017
2017-02-14,approve,46.651563,2017
2017-02-14,disapprove,49.180389,2017
2017-02-13,approve,42.948636,2017
2017-02-13,disapprove,48.76658,2017
2017-02-13,approve,43.746612,2017
2017-02-13,disapprove,51.481791,2017
2017-02-13,approve,40.861441,2017
2017-02-13,disapprove,52.539189,2017
2017-02-13,approve,46.012924,2017
2017-02-13,disapprove,47.485387,2017
2017-02-14,approve,43.948636,2017
2017-02-14,disapprove,48.76658,2017
2017-02-14,approve,40.861441,2017
2017-02-14,disapprove,51.539189,2017
2017-02-15,approve,47.151563,2017
2017-02-15,disapprove,48.980389,2017
2017-02-14,approve,38.948636,2017
2017-02-14,disapprove,54.76658,2017
2017-02-14,approve,47.608387,2017
2017-02-14,disapprove,48.626013,2017
2017-02-15,approve,40.861441,2017
2017-02-15,disapprove,52.539189,2017
2017-02-16,approve,47.251563,2017
2017-02-16,disapprove,48.780389,2017
2017-02-15,approve,49.608387,2017
2017-02-15,disapprove,46.626013,2017
2017-02-15,approve,41.948636,2017
2017-02-15,disapprove,51.76658,2017
2017-02-16,approve,38.861441,2017
2017-02-16,disapprove,54.539189,2017
2017-02-17,approve,42.613321,2017
2017-02-17,disapprove,52.248116,2017
2017-02-16,approve,49.608387,2017
2017-02-16,disapprove,46.626013,2017
2017-02-16,approve,37.948636,2017
2017-02-16,disapprove,52.76658,2017
2017-02-17,approve,46.451563,2017
2017-02-17,disapprove,49.680389,2017
2017-02-18,approve,45.651563,2017
2017-02-18,disapprove,50.680389,2017
2017-02-19,approve,40.613321,2017
2017-02-19,disapprove,53.248116,2017
2017-02-17,approve,43.948636,2017
2017-02-17,disapprove,49.76658,2017
2017-02-19,approve,41.769187,2017
2017-02-19,disapprove,50.41321,2017
2017-02-17,approve,40.861441,2017
2017-02-17,disapprove,53.539189,2017
2017-02-19,approve,40.05001,2017
2017-02-19,disapprove,50.794843,2017
2017-02-19,approve,45.608387,2017
2017-02-19,disapprove,50.626013,2017
2017-02-19,approve,46.651563,2017
2017-02-19,disapprove,49.080389,2017
2017-02-18,approve,41.861441,2017
2017-02-18,disapprove,53.539189,2017
2017-02-18,approve,41.948636,2017
2017-02-18,disapprove,48.76658,2017
2017-02-18,approve,41.948636,2017
2017-02-18,disapprove,48.76658,2017
2017-02-20,approve,47.19239,2017
2017-02-20,disapprove,45.503737,2017
2017-02-19,approve,42.861441,2017
2017-02-19,disapprove,51.539189,2017
2017-02-19,approve,38.948636,2017
2017-02-19,disapprove,53.76658,2017
2017-02-20,approve,46.851563,2017
2017-02-20,disapprove,48.480389,2017
2017-02-19,approve,48.686784,2017
2017-02-19,disapprove,45.055805,2017
2017-02-20,approve,44.608387,2017
2017-02-20,disapprove,51.626013,2017
2017-02-21,approve,46.451563,2017
2017-02-21,disapprove,48.580389,2017
2017-02-20,approve,41.861441,2017
2017-02-20,disapprove,51.539189,2017
2017-02-21,approve,39.750369,2017
2017-02-21,disapprove,53.742388,2017
2017-02-20,approve,40.948636,2017
2017-02-20,disapprove,51.76658,2017
2017-02-20,approve,45.584929,2017
2017-02-20,disapprove,47.955382,2017
2017-02-21,approve,40.37161,2017
2017-02-21,disapprove,50.419838,2017
2017-02-21,approve,45.608387,2017
2017-02-21,disapprove,50.626013,2017
2017-02-22,approve,47.351563,2017
2017-02-22,disapprove,45.680389,2017
2017-02-23,approve,41.613321,2017
2017-02-23,disapprove,53.248116,2017
2017-02-22,approve,43.948636,2017
2017-02-22,disapprove,47.76658,2017
2017-02-22,approve,43.237814,2017
2017-02-22,disapprove,48.82106,2017
2017-02-21,approve,42.861441,2017
2017-02-21,disapprove,50.539189,2017
2017-02-22,approve,42.948636,2017
2017-02-22,disapprove,47.76658,2017
2017-02-23,approve,47.151563,2017
2017-02-23,disapprove,45.880389,2017
2017-02-22,approve,43.861441,2017
2017-02-22,disapprove,50.539189,2017
2017-02-22,approve,46.608387,2017
2017-02-22,disapprove,48.626013,2017
2017-02-23,approve,47.608387,2017
2017-02-23,disapprove,48.626013,2017
2017-02-22,approve,44.608485,2017
2017-02-22,disapprove,48.209337,2017
2017-02-24,approve,46.451563,2017
2017-02-24,disapprove,46.580389,2017
2017-02-23,approve,43.861441,2017
